番号,外向性,社交性,積極性,知性,信頼性,素直さ
1.00,3.00,4.00,4.00,5.00,4.00,4.00
2.00,6.00,6.00,7.00,8.00,7.00,7.00
3.00,6.00,5.00,7.00,5.00,5.00,6.00
4.00,6.00,7.00,5.00,4.00,6.00,5.00
5.00,5.00,7.00,6.00,5.00,5.00,5.00
6.00,4.00,5.00,5.00,5.00,6.00,6.00
7.00,6.00,6.00,7.00,6.00,4.00,4.00
8.00,5.00,5.00,4.00,5.00,5.00,6.00
9.00,6.00,6.00,6.00,7.00,7.00,6.00
10.00,6.00,5.00,6.00,6.00,5.00,5.00
11.00,5.00,4.00,4.00,5.00,5.00,5.00
12.00,5.00,5.00,6.00,5.00,4.00,5.00
13.00,6.00,6.00,5.00,5.00,6.00,5.00
14.00,5.00,5.00,4.00,4.00,5.00,3.00
15.00,5.00,6.00,4.00,5.00,6.00,6.00
16.00,6.00,6.00,6.00,4.00,4.00,5.00
17.00,4.00,4.00,3.00,6.00,5.00,6.00
18.00,6.00,6.00,7.00,4.00,5.00,5.00
19.00,5.00,3.00,4.00,3.00,5.00,4.00
20.00,4.00,6.00,6.00,3.00,5.00,4.00
